AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,TARGET,GROUP,YEAR
30.0,1.0,18.0,5.0,4220.0,22.0,17.0,99.0,2.0,1.0,14141.541255321436,1,2018
20.0,1.0,20.0,5.0,7010.0,17.0,17.0,20.0,1.0,1.0,1791.2618923407151,1,2018
70.0,1.0,19.0,3.0,4760.0,17.0,16.0,20.0,2.0,1.0,32996.929595750014,1,2018
20.0,1.0,16.0,5.0,4020.0,329.0,16.0,40.0,1.0,8.0,66936.62860852147,8,2018
66.0,3.0,21.0,1.0,2320.0,17.0,16.0,20.0,1.0,1.0,9050.58640340572,1,2018
19.0,1.0,19.0,5.0,2002.0,42.0,17.0,23.0,2.0,1.0,3299.6929595750016,1,2018
19.0,1.0,16.0,5.0,4150.0,17.0,17.0,18.0,2.0,1.0,6787.939802554289,1,2018
27.0,1.0,17.0,5.0,4760.0,17.0,17.0,25.0,2.0,9.0,3771.077668085716,9,2018
20.0,1.0,19.0,5.0,230.0,36.0,17.0,12.0,1.0,1.0,1885.538834042858,1,2018
20.0,2.0,18.0,5.0,7800.0,48.0,17.0,7.0,2.0,1.0,895.6309461703576,1,2018
23.0,1.0,20.0,5.0,4640.0,10.0,17.0,20.0,2.0,1.0,2168.3696591492867,1,2018
18.0,2.0,19.0,5.0,5860.0,12.0,17.0,9.0,2.0,1.0,4713.847085107145,1,2018
20.0,2.0,19.0,5.0,5400.0,17.0,17.0,17.0,2.0,1.0,8484.924753192861,1,2018
19.0,3.0,18.0,5.0,1050.0,19.0,17.0,10.0,1.0,1.0,5204.087181958288,1,2018
20.0,2.0,19.0,5.0,2350.0,17.0,17.0,6.0,2.0,1.0,2451.2004842557153,1,2018
37.0,1.0,16.0,4.0,8800.0,26.0,17.0,50.0,2.0,1.0,13858.710430215007,1,2018
61.0,2.0,22.0,5.0,2040.0,110.0,17.0,40.0,1.0,1.0,32996.929595750014,1,2018
23.0,2.0,19.0,5.0,726.0,18.0,17.0,15.0,2.0,1.0,29508.68275277073,1,2018
20.0,1.0,19.0,5.0,4720.0,18.0,17.0,20.0,2.0,1.0,744.787839446929,1,2018
21.0,2.0,19.0,5.0,4640.0,26.0,17.0,60.0,1.0,1.0,2828.308251064287,1,2018
25.0,1.0,16.0,5.0,6260.0,42.0,16.0,40.0,1.0,2.0,18855.38834042858,2,2018
46.0,2.0,16.0,5.0,8990.0,17.0,17.0,6.0,2.0,1.0,8013.540044682147,1,2018
20.0,2.0,19.0,5.0,5860.0,8.0,17.0,10.0,2.0,1.0,2828.308251064287,1,2018
46.0,1.0,17.0,1.0,7330.0,303.0,17.0,40.0,1.0,1.0,51852.317936178595,1,2018
22.0,1.0,19.0,5.0,5120.0,17.0,17.0,40.0,2.0,1.0,7542.155336171432,1,2018
20.0,1.0,16.0,5.0,2360.0,17.0,17.0,10.0,2.0,1.0,1885.538834042858,1,2018
18.0,1.0,18.0,5.0,4030.0,17.0,17.0,20.0,1.0,1.0,4713.847085107145,1,2018
20.0,1.0,16.0,5.0,4740.0,17.0,17.0,16.0,2.0,1.0,1885.538834042858,1,2018
18.0,1.0,19.0,5.0,9645.0,17.0,17.0,20.0,2.0,2.0,7824.98616127786,2,2018
18.0,1.0,16.0,5.0,7340.0,17.0,17.0,6.0,1.0,9.0,22909.296833620727,9,2018
18.0,1.0,18.0,5.0,4720.0,17.0,17.0,21.0,2.0,1.0,5279.508735320002,1,2018
20.0,1.0,19.0,5.0,9620.0,17.0,17.0,20.0,2.0,1.0,11407.509945959291,1,2018
52.0,1.0,19.0,5.0,6260.0,17.0,16.0,40.0,1.0,1.0,4713.847085107145,1,2018
33.0,1.0,19.0,5.0,8225.0,17.0,16.0,40.0,1.0,1.0,26397.543676600013,1,2018
29.0,1.0,14.0,5.0,4720.0,26.0,17.0,25.0,2.0,1.0,13293.04878000215,1,2018
29.0,1.0,15.0,5.0,5610.0,17.0,17.0,10.0,2.0,2.0,1131.323300425715,2,2018
18.0,1.0,18.0,5.0,8225.0,17.0,17.0,6.0,1.0,1.0,942.769417021429,1,2018
20.0,1.0,19.0,5.0,4110.0,55.0,17.0,12.0,2.0,1.0,2828.308251064287,1,2018
27.0,1.0,21.0,5.0,4000.0,303.0,17.0,45.0,1.0,1.0,26397.543676600013,1,2018
28.0,2.0,22.0,5.0,2040.0,303.0,17.0,45.0,1.0,1.0,5185.23179361786,1,2018
21.0,1.0,19.0,5.0,4710.0,17.0,17.0,10.0,2.0,1.0,4713.847085107145,1,2018
22.0,5.0,16.0,1.0,9825.0,12.0,17.0,40.0,1.0,1.0,22626.466008514297,1,2018
18.0,1.0,18.0,5.0,4110.0,17.0,17.0,20.0,2.0,1.0,1508.4310672342865,1,2018
19.0,3.0,16.0,5.0,3960.0,17.0,17.0,30.0,2.0,1.0,9616.248053618576,1,2018
19.0,2.0,19.0,5.0,4640.0,51.0,17.0,50.0,1.0,1.0,226.26466008514296,1,2018
58.0,1.0,16.0,3.0,8800.0,18.0,16.0,40.0,1.0,1.0,3959.631551490002,1,2018
18.0,1.0,16.0,5.0,4760.0,38.0,17.0,9.0,2.0,1.0,1885.538834042858,1,2018
20.0,1.0,19.0,5.0,6050.0,17.0,17.0,40.0,1.0,1.0,5185.23179361786,1,2018
19.0,1.0,16.0,5.0,4622.0,17.0,17.0,35.0,2.0,1.0,1508.4310672342865,1,2018
20.0,1.0,19.0,5.0,230.0,36.0,17.0,12.0,1.0,1.0,1885.538834042858,1,2018
19.0,2.0,19.0,5.0,110.0,34.0,17.0,27.0,1.0,6.0,1225.6002421278577,6,2018
19.0,1.0,19.0,5.0,4600.0,17.0,17.0,24.0,2.0,1.0,1414.1541255321436,1,2018
22.0,1.0,20.0,5.0,4720.0,17.0,17.0,30.0,2.0,2.0,801.3540044682147,2,2018
63.0,2.0,15.0,5.0,8990.0,17.0,17.0,7.0,1.0,1.0,9088.297180086576,1,2018
19.0,1.0,18.0,5.0,5522.0,17.0,17.0,8.0,2.0,1.0,942.769417021429,1,2018
18.0,4.0,16.0,5.0,9825.0,17.0,17.0,80.0,2.0,2.0,1696.9849506385722,2,2018
29.0,1.0,17.0,5.0,7750.0,17.0,16.0,40.0,1.0,1.0,4242.462376596431,1,2018
21.0,1.0,19.0,5.0,2850.0,17.0,17.0,9.0,2.0,1.0,1131.323300425715,1,2018
63.0,4.0,19.0,1.0,3602.0,8.0,16.0,5.0,2.0,1.0,15084.310672342865,1,2018
20.0,1.0,19.0,5.0,4120.0,9.0,17.0,30.0,2.0,1.0,6599.385919150003,1,2018
26.0,1.0,16.0,5.0,4110.0,303.0,17.0,25.0,1.0,1.0,21683.696591492866,1,2018
18.0,1.0,16.0,5.0,9620.0,17.0,16.0,30.0,1.0,2.0,1885.538834042858,2,2018
18.0,1.0,18.0,5.0,4760.0,38.0,17.0,25.0,1.0,1.0,7542.155336171432,1,2018
24.0,1.0,21.0,5.0,2545.0,6.0,17.0,80.0,1.0,1.0,4713.847085107145,1,2018
22.0,2.0,19.0,5.0,4435.0,17.0,17.0,5.0,2.0,1.0,801.3540044682147,1,2018
20.0,1.0,19.0,5.0,5260.0,17.0,17.0,3.0,2.0,1.0,4713.847085107145,1,2018
31.0,6.0,19.0,5.0,220.0,17.0,16.0,40.0,1.0,1.0,2356.9235425535726,1,2018
18.0,5.0,16.0,5.0,9830.0,6.0,17.0,60.0,1.0,1.0,25266.220376174297,1,2018
20.0,2.0,19.0,5.0,726.0,4.0,17.0,12.0,2.0,1.0,1885.538834042858,1,2018
18.0,1.0,16.0,5.0,4150.0,17.0,17.0,20.0,2.0,1.0,3771.077668085716,1,2018
21.0,1.0,17.0,1.0,310.0,17.0,16.0,58.0,1.0,1.0,13198.771838300006,1,2018
27.0,1.0,21.0,5.0,3520.0,301.0,17.0,40.0,2.0,1.0,14141.541255321436,1,2018
19.0,1.0,18.0,5.0,9620.0,6.0,17.0,12.0,1.0,6.0,1131.323300425715,6,2018
18.0,1.0,18.0,5.0,4760.0,27.0,17.0,20.0,2.0,1.0,3771.077668085716,1,2018
42.0,2.0,19.0,5.0,8990.0,17.0,17.0,25.0,1.0,1.0,18478.28057362001,1,2018
18.0,1.0,16.0,5.0,4760.0,18.0,17.0,25.0,2.0,1.0,2828.308251064287,1,2018
20.0,1.0,19.0,5.0,2350.0,17.0,17.0,5.0,2.0,9.0,3299.6929595750016,9,2018
57.0,2.0,19.0,3.0,4600.0,17.0,17.0,15.0,2.0,2.0,11313.233004257148,2,2018
20.0,2.0,19.0,5.0,630.0,17.0,17.0,31.0,2.0,1.0,6976.493685958575,1,2018
21.0,1.0,19.0,5.0,9130.0,27.0,17.0,70.0,1.0,1.0,5656.616502128574,1,2018
49.0,1.0,17.0,3.0,4020.0,47.0,17.0,8.0,1.0,2.0,7447.87839446929,2,2018
39.0,1.0,19.0,3.0,9620.0,48.0,17.0,25.0,1.0,2.0,1131.323300425715,2,2018
30.0,1.0,19.0,5.0,6230.0,17.0,16.0,60.0,1.0,2.0,16027.080089364294,2,2018
17.0,4.0,14.0,5.0,4030.0,17.0,16.0,40.0,1.0,1.0,6599.385919150003,1,2018
25.0,1.0,18.0,5.0,4720.0,17.0,17.0,30.0,2.0,9.0,2356.9235425535726,9,2018
19.0,1.0,18.0,5.0,4030.0,17.0,17.0,24.0,2.0,1.0,1414.1541255321436,1,2018
24.0,1.0,21.0,5.0,2545.0,6.0,17.0,80.0,1.0,1.0,4713.847085107145,1,2018
53.0,1.0,16.0,5.0,4720.0,17.0,17.0,12.0,2.0,2.0,4713.847085107145,2,2018
23.0,1.0,16.0,5.0,4020.0,17.0,16.0,16.0,1.0,1.0,2545.4774259578585,1,2018
23.0,1.0,20.0,1.0,310.0,17.0,17.0,40.0,1.0,2.0,11313.233004257148,2,2018
20.0,1.0,20.0,5.0,9645.0,17.0,17.0,45.0,2.0,1.0,11973.17159617215,1,2018
20.0,1.0,16.0,5.0,7810.0,18.0,17.0,50.0,1.0,1.0,14141.541255321436,1,2018
19.0,1.0,18.0,5.0,5240.0,440.0,17.0,30.0,1.0,2.0,4713.847085107145,2,2018
22.0,2.0,19.0,5.0,4640.0,17.0,17.0,10.0,2.0,1.0,7542.155336171432,1,2018
19.0,5.0,20.0,5.0,4020.0,6.0,17.0,60.0,1.0,1.0,188.5538834042858,1,2018
32.0,1.0,14.0,5.0,8800.0,18.0,16.0,65.0,1.0,1.0,28283.08251064287,1,2018
29.0,2.0,19.0,5.0,2545.0,17.0,17.0,12.0,2.0,2.0,18855.38834042858,2,2018
19.0,1.0,19.0,5.0,2640.0,17.0,17.0,12.0,2.0,1.0,1885.538834042858,1,2018
19.0,1.0,16.0,5.0,7315.0,55.0,17.0,40.0,1.0,1.0,17064.126448087864,1,2018
46.0,1.0,21.0,3.0,5240.0,17.0,16.0,40.0,1.0,1.0,26397.543676600013,1,2018
21.0,2.0,19.0,5.0,4435.0,17.0,17.0,10.0,1.0,1.0,942.769417021429,1,2018
19.0,1.0,18.0,5.0,4030.0,29.0,17.0,20.0,2.0,9.0,2545.4774259578585,9,2018
25.0,1.0,16.0,5.0,6260.0,42.0,16.0,40.0,1.0,2.0,18855.38834042858,2,2018
29.0,6.0,19.0,3.0,9365.0,17.0,16.0,30.0,1.0,1.0,11501.786887661434,1,2018
22.0,1.0,19.0,5.0,7840.0,42.0,17.0,20.0,2.0,1.0,7542.155336171432,1,2018
18.0,1.0,16.0,5.0,4220.0,17.0,17.0,20.0,1.0,2.0,6316.555094043574,2,2018
24.0,1.0,21.0,5.0,3430.0,217.0,17.0,35.0,2.0,6.0,10370.46358723572,6,2018
21.0,1.0,19.0,5.0,5400.0,17.0,17.0,12.0,1.0,1.0,3771.077668085716,1,2018
18.0,2.0,19.0,5.0,420.0,6.0,17.0,14.0,2.0,8.0,1225.6002421278577,8,2018
36.0,1.0,14.0,5.0,6230.0,17.0,16.0,40.0,1.0,2.0,6787.939802554289,2,2018
53.0,2.0,16.0,5.0,8990.0,17.0,17.0,30.0,1.0,1.0,21306.588824684295,1,2018
20.0,2.0,20.0,5.0,230.0,17.0,17.0,10.0,2.0,1.0,12067.448537874292,1,2018
38.0,1.0,18.0,5.0,4435.0,17.0,17.0,40.0,2.0,6.0,18289.726690215724,6,2018
59.0,1.0,18.0,5.0,4220.0,17.0,17.0,40.0,1.0,1.0,7542.155336171432,1,2018
26.0,1.0,16.0,5.0,4020.0,17.0,16.0,25.0,1.0,2.0,4902.400968511431,2,2018
32.0,1.0,20.0,1.0,4110.0,17.0,16.0,40.0,1.0,1.0,4336.739318298573,1,2018
21.0,1.0,19.0,5.0,9620.0,6.0,17.0,30.0,1.0,1.0,2828.308251064287,1,2018
24.0,1.0,23.0,5.0,1555.0,6.0,17.0,20.0,1.0,1.0,22626.466008514297,1,2018
36.0,1.0,14.0,1.0,9620.0,17.0,17.0,40.0,1.0,2.0,942.769417021429,2,2018
17.0,4.0,14.0,5.0,4030.0,17.0,16.0,40.0,1.0,1.0,6599.385919150003,1,2018
19.0,1.0,18.0,5.0,4720.0,17.0,17.0,9.0,2.0,6.0,2828.308251064287,6,2018
19.0,1.0,16.0,5.0,9645.0,17.0,17.0,20.0,2.0,1.0,3771.077668085716,1,2018
35.0,1.0,17.0,5.0,5522.0,17.0,17.0,45.0,1.0,1.0,32996.929595750014,1,2018
19.0,1.0,19.0,5.0,4720.0,17.0,17.0,14.0,2.0,1.0,471.3847085107145,1,2018
61.0,2.0,22.0,5.0,2040.0,110.0,17.0,40.0,1.0,1.0,32996.929595750014,1,2018
19.0,1.0,19.0,5.0,4720.0,17.0,17.0,15.0,2.0,1.0,3488.2468429792875,1,2018
19.0,1.0,19.0,5.0,4760.0,13.0,17.0,40.0,1.0,1.0,5656.616502128574,1,2018
64.0,2.0,13.0,1.0,4220.0,17.0,17.0,30.0,1.0,1.0,11690.34077106572,1,2018
29.0,1.0,12.0,5.0,4230.0,22.0,17.0,45.0,2.0,2.0,16969.849506385723,2,2018
69.0,2.0,24.0,5.0,2040.0,17.0,17.0,50.0,1.0,1.0,35825.2378468143,1,2018
18.0,1.0,16.0,5.0,6050.0,17.0,17.0,40.0,1.0,1.0,3771.077668085716,1,2018
25.0,1.0,16.0,5.0,6260.0,42.0,16.0,40.0,1.0,2.0,18855.38834042858,2,2018
19.0,1.0,19.0,5.0,4720.0,17.0,17.0,20.0,2.0,9.0,1602.7080089364295,9,2018
29.0,1.0,17.0,5.0,4220.0,17.0,16.0,4.0,2.0,2.0,188.5538834042858,2,2018
22.0,6.0,19.0,5.0,4220.0,163.0,17.0,30.0,2.0,1.0,7542.155336171432,1,2018
19.0,1.0,19.0,5.0,4600.0,17.0,17.0,40.0,2.0,1.0,3771.077668085716,1,2018
67.0,2.0,22.0,5.0,2040.0,17.0,17.0,99.0,1.0,1.0,42424.62376596431,1,2018
20.0,2.0,19.0,5.0,2360.0,17.0,17.0,30.0,1.0,2.0,2828.308251064287,2,2018
35.0,1.0,19.0,5.0,4020.0,17.0,16.0,30.0,1.0,1.0,1131.323300425715,1,2018
34.0,1.0,16.0,3.0,4020.0,18.0,16.0,45.0,2.0,1.0,8484.924753192861,1,2018
21.0,2.0,21.0,5.0,2002.0,17.0,17.0,10.0,1.0,6.0,3771.077668085716,6,2018
18.0,5.0,16.0,5.0,7340.0,21.0,17.0,11.0,1.0,1.0,28283.08251064287,1,2018
18.0,1.0,18.0,5.0,2310.0,17.0,17.0,15.0,1.0,1.0,659.9385919150003,1,2018
20.0,2.0,19.0,5.0,5900.0,17.0,17.0,32.0,2.0,1.0,12256.002421278577,1,2018
23.0,1.0,16.0,5.0,4720.0,17.0,16.0,15.0,1.0,2.0,18855.38834042858,2,2018
21.0,1.0,16.0,5.0,4760.0,17.0,17.0,25.0,1.0,1.0,3299.6929595750016,1,2018
18.0,2.0,16.0,5.0,4622.0,48.0,17.0,60.0,2.0,9.0,1885.538834042858,9,2018
34.0,2.0,16.0,5.0,520.0,48.0,17.0,29.0,1.0,2.0,24606.281784259296,2,2018
22.0,1.0,19.0,5.0,6050.0,17.0,17.0,33.0,1.0,1.0,2404.062013404644,1,2018
45.0,1.0,16.0,5.0,7330.0,17.0,17.0,45.0,1.0,1.0,13198.771838300006,1,2018
21.0,1.0,19.0,5.0,710.0,17.0,17.0,40.0,1.0,1.0,4713.847085107145,1,2018
19.0,1.0,16.0,5.0,4030.0,17.0,17.0,40.0,1.0,2.0,122.56002421278578,2,2018
27.0,1.0,21.0,5.0,3520.0,301.0,17.0,40.0,2.0,1.0,14141.541255321436,1,2018
28.0,1.0,17.0,5.0,6600.0,18.0,16.0,50.0,1.0,1.0,6599.385919150003,1,2018
18.0,1.0,18.0,5.0,4435.0,36.0,17.0,35.0,1.0,2.0,4713.847085107145,2,2018
20.0,3.0,16.0,5.0,3960.0,17.0,17.0,20.0,2.0,1.0,9427.69417021429,1,2018
20.0,1.0,19.0,5.0,5260.0,17.0,17.0,3.0,2.0,1.0,4713.847085107145,1,2018
39.0,1.0,20.0,1.0,6230.0,17.0,16.0,40.0,1.0,1.0,24512.004842557155,1,2018
29.0,1.0,16.0,5.0,8256.0,17.0,16.0,40.0,1.0,2.0,942.769417021429,2,2018
22.0,1.0,19.0,5.0,4110.0,17.0,16.0,40.0,2.0,1.0,9427.69417021429,1,2018
24.0,1.0,21.0,5.0,8990.0,126.0,17.0,20.0,1.0,1.0,3959.631551490002,1,2018
48.0,1.0,19.0,3.0,1970.0,17.0,16.0,35.0,1.0,1.0,1696.9849506385722,1,2018
23.0,1.0,16.0,5.0,4720.0,17.0,16.0,15.0,1.0,2.0,18855.38834042858,2,2018
22.0,1.0,19.0,5.0,9645.0,17.0,17.0,30.0,1.0,2.0,471.3847085107145,2,2018
21.0,1.0,19.0,5.0,2850.0,17.0,17.0,9.0,2.0,1.0,1131.323300425715,1,2018
21.0,2.0,19.0,5.0,5420.0,17.0,17.0,13.0,1.0,1.0,5279.508735320002,1,2018
26.0,1.0,16.0,5.0,4110.0,303.0,17.0,25.0,1.0,1.0,21683.696591492866,1,2018
19.0,2.0,18.0,5.0,2360.0,18.0,17.0,50.0,1.0,1.0,942.769417021429,1,2018
19.0,2.0,18.0,5.0,4622.0,8.0,17.0,40.0,2.0,9.0,5090.954851915717,9,2018
46.0,1.0,17.0,1.0,7330.0,303.0,17.0,40.0,1.0,1.0,51852.317936178595,1,2018
23.0,1.0,16.0,5.0,9620.0,17.0,16.0,20.0,1.0,9.0,5279.508735320002,9,2018
20.0,2.0,19.0,5.0,2002.0,22.0,17.0,10.0,1.0,2.0,1885.538834042858,2,2018
24.0,1.0,19.0,5.0,8140.0,17.0,17.0,40.0,2.0,2.0,14141.541255321436,2,2018
22.0,5.0,16.0,1.0,9825.0,12.0,17.0,40.0,1.0,1.0,22626.466008514297,1,2018
19.0,1.0,19.0,5.0,2640.0,17.0,17.0,12.0,2.0,1.0,1885.538834042858,1,2018
19.0,2.0,16.0,5.0,3960.0,37.0,17.0,60.0,1.0,1.0,2356.9235425535726,1,2018
18.0,1.0,16.0,5.0,4760.0,38.0,17.0,9.0,2.0,1.0,1885.538834042858,1,2018
29.0,1.0,16.0,5.0,4720.0,17.0,17.0,25.0,2.0,2.0,3111.1390761707157,2,2018
19.0,1.0,18.0,5.0,4110.0,19.0,17.0,25.0,1.0,1.0,5090.954851915717,1,2018
19.0,1.0,19.0,5.0,1970.0,6.0,17.0,40.0,2.0,6.0,3771.077668085716,6,2018
18.0,1.0,18.0,5.0,2320.0,17.0,17.0,30.0,1.0,1.0,6599.385919150003,1,2018
20.0,1.0,19.0,5.0,4720.0,12.0,17.0,20.0,2.0,6.0,471.3847085107145,6,2018
47.0,1.0,12.0,5.0,4020.0,303.0,16.0,40.0,1.0,1.0,9427.69417021429,1,2018
63.0,2.0,15.0,5.0,8990.0,17.0,17.0,7.0,1.0,1.0,9088.297180086576,1,2018
20.0,1.0,19.0,5.0,4720.0,17.0,17.0,45.0,1.0,2.0,28283.08251064287,2,2018
19.0,2.0,16.0,5.0,4622.0,17.0,17.0,15.0,2.0,1.0,2639.754367660001,1,2018
18.0,1.0,16.0,5.0,5240.0,17.0,17.0,30.0,1.0,2.0,3299.6929595750016,2,2018
19.0,1.0,18.0,5.0,5400.0,17.0,17.0,40.0,2.0,1.0,3771.077668085716,1,2018
57.0,2.0,19.0,3.0,4600.0,17.0,17.0,15.0,2.0,2.0,11313.233004257148,2,2018
64.0,2.0,13.0,5.0,8990.0,17.0,17.0,30.0,2.0,1.0,14518.649022130006,1,2018
25.0,1.0,8.0,5.0,4055.0,17.0,17.0,25.0,2.0,2.0,3299.6929595750016,2,2018
18.0,2.0,16.0,1.0,4600.0,17.0,16.0,8.0,1.0,2.0,754.2155336171433,2,2018
40.0,1.0,19.0,5.0,4720.0,17.0,16.0,40.0,1.0,1.0,4713.847085107145,1,2018
37.0,1.0,16.0,4.0,8800.0,26.0,17.0,50.0,2.0,1.0,13858.710430215007,1,2018
18.0,1.0,18.0,5.0,5400.0,17.0,17.0,24.0,2.0,2.0,6316.555094043574,2,2018
19.0,1.0,18.0,5.0,4640.0,17.0,17.0,20.0,1.0,6.0,6278.844317362717,6,2018
24.0,5.0,18.0,5.0,9830.0,24.0,17.0,40.0,2.0,1.0,9427.69417021429,1,2018
32.0,1.0,19.0,5.0,9600.0,17.0,16.0,40.0,1.0,2.0,34882.468429792876,2,2018
61.0,2.0,16.0,5.0,7750.0,17.0,17.0,25.0,1.0,1.0,14141.541255321436,1,2018
20.0,1.0,16.0,5.0,230.0,163.0,17.0,20.0,1.0,1.0,5656.616502128574,1,2018
18.0,1.0,18.0,5.0,4110.0,17.0,17.0,8.0,2.0,1.0,942.769417021429,1,2018
20.0,1.0,16.0,5.0,5110.0,17.0,17.0,20.0,2.0,1.0,1037.046358723572,1,2018
21.0,2.0,19.0,5.0,4435.0,17.0,17.0,10.0,1.0,1.0,942.769417021429,1,2018
30.0,1.0,18.0,3.0,6050.0,17.0,16.0,72.0,1.0,1.0,19043.942223832866,1,2018
42.0,2.0,20.0,3.0,2752.0,29.0,16.0,16.0,1.0,2.0,5939.447327235003,2,2018
18.0,1.0,18.0,5.0,4030.0,207.0,17.0,30.0,2.0,6.0,1885.538834042858,6,2018
40.0,1.0,19.0,5.0,4720.0,17.0,16.0,40.0,1.0,1.0,4713.847085107145,1,2018
19.0,1.0,19.0,5.0,5420.0,26.0,17.0,8.0,2.0,1.0,188.5538834042858,1,2018
27.0,1.0,19.0,5.0,4020.0,17.0,16.0,60.0,1.0,1.0,4336.739318298573,1,2018
38.0,1.0,18.0,5.0,4435.0,17.0,17.0,40.0,2.0,6.0,18289.726690215724,6,2018
21.0,1.0,16.0,5.0,5120.0,17.0,17.0,40.0,2.0,1.0,1885.538834042858,1,2018
21.0,1.0,19.0,5.0,4640.0,17.0,17.0,10.0,1.0,1.0,3771.077668085716,1,2018
54.0,1.0,21.0,5.0,3602.0,17.0,17.0,45.0,1.0,2.0,19798.157757450008,2,2018
20.0,1.0,14.0,5.0,4220.0,17.0,16.0,12.0,1.0,1.0,18855.38834042858,1,2018
37.0,2.0,16.0,5.0,8990.0,17.0,17.0,30.0,1.0,1.0,10841.848295746433,1,2018
20.0,2.0,19.0,5.0,5120.0,17.0,17.0,17.0,2.0,1.0,1131.323300425715,1,2018
28.0,1.0,18.0,5.0,4020.0,17.0,17.0,32.0,1.0,2.0,2828.308251064287,2,2018
18.0,2.0,16.0,5.0,4540.0,17.0,17.0,15.0,2.0,1.0,1414.1541255321436,1,2018
19.0,1.0,19.0,5.0,4110.0,17.0,17.0,40.0,2.0,1.0,6128.001210639289,1,2018
61.0,2.0,16.0,5.0,7750.0,17.0,17.0,25.0,1.0,1.0,14141.541255321436,1,2018
20.0,1.0,19.0,5.0,4720.0,17.0,17.0,45.0,1.0,2.0,28283.08251064287,2,2018
