AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,TARGET,GROUP,YEAR
30.0,1.0,18.0,5.0,4220.0,22.0,17.0,99.0,2.0,1.0,15000.0,1,2018
20.0,1.0,20.0,5.0,7010.0,17.0,17.0,20.0,1.0,1.0,1900.0,1,2018
70.0,1.0,19.0,3.0,4760.0,17.0,16.0,20.0,2.0,1.0,35000.0,1,2018
20.0,1.0,16.0,5.0,4020.0,329.0,16.0,40.0,1.0,8.0,71000.0,8,2018
66.0,3.0,21.0,1.0,2320.0,17.0,16.0,20.0,1.0,1.0,9600.0,1,2018
19.0,1.0,19.0,5.0,2002.0,42.0,17.0,23.0,2.0,1.0,3500.0,1,2018
19.0,1.0,16.0,5.0,4150.0,17.0,17.0,18.0,2.0,1.0,7200.0,1,2018
27.0,1.0,17.0,5.0,4760.0,17.0,17.0,25.0,2.0,9.0,4000.0,9,2018
20.0,1.0,19.0,5.0,230.0,36.0,17.0,12.0,1.0,1.0,2000.0,1,2018
20.0,2.0,18.0,5.0,7800.0,48.0,17.0,7.0,2.0,1.0,950.0,1,2018
23.0,1.0,20.0,5.0,4640.0,10.0,17.0,20.0,2.0,1.0,2300.0,1,2018
18.0,2.0,19.0,5.0,5860.0,12.0,17.0,9.0,2.0,1.0,5000.0,1,2018
20.0,2.0,19.0,5.0,5400.0,17.0,17.0,17.0,2.0,1.0,9000.0,1,2018
19.0,3.0,18.0,5.0,1050.0,19.0,17.0,10.0,1.0,1.0,5520.0,1,2018
20.0,2.0,19.0,5.0,2350.0,17.0,17.0,6.0,2.0,1.0,2600.0,1,2018
37.0,1.0,16.0,4.0,8800.0,26.0,17.0,50.0,2.0,1.0,14700.0,1,2018
61.0,2.0,22.0,5.0,2040.0,110.0,17.0,40.0,1.0,1.0,35000.0,1,2018
23.0,2.0,19.0,5.0,726.0,18.0,17.0,15.0,2.0,1.0,31300.0,1,2018
20.0,1.0,19.0,5.0,4720.0,18.0,17.0,20.0,2.0,1.0,790.0,1,2018
21.0,2.0,19.0,5.0,4640.0,26.0,17.0,60.0,1.0,1.0,3000.0,1,2018
25.0,1.0,16.0,5.0,6260.0,42.0,16.0,40.0,1.0,2.0,20000.0,2,2018
46.0,2.0,16.0,5.0,8990.0,17.0,17.0,6.0,2.0,1.0,8500.0,1,2018
20.0,2.0,19.0,5.0,5860.0,8.0,17.0,10.0,2.0,1.0,3000.0,1,2018
46.0,1.0,17.0,1.0,7330.0,303.0,17.0,40.0,1.0,1.0,55000.0,1,2018
22.0,1.0,19.0,5.0,5120.0,17.0,17.0,40.0,2.0,1.0,8000.0,1,2018
