Ano_Treino,Ano_Teste,Distancia_Anos,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2015,1,21934.041049977517,-9511.650355770116,0.8265201791454566,49697.68573131166,0.3809686415136329,22828.30472975505,17513.79177540244,5314.512954352608,-9981.43691001138,-7189.545899837555,2791.891010173826,0.7961620989716376,0.9765769072675216,0.18041480829588383,27181.988822877916,16208.78022913171,10973.208593746209,-12207.919159420448,-6570.149637389969,5637.769522030482,0.8156753971262938,0.8383513192961921,0.022675922169898284
2014,2016,2,22373.841259266093,-10187.51939747368,0.8055471993078479,50380.973783919835,0.37638633588590553,23358.91841496759,17677.273881789122,5681.644533178468,-10729.83852625716,-7601.896216909273,3127.9423093478863,0.7779938039521844,0.9369139425290763,0.15892013857689205,27590.674431996238,16736.465885549802,10854.20854644643,-12970.288229138881,-7180.424487025378,5789.863742113497,0.7983076997208526,0.8133702933839808,0.01506259366312821
2014,2017,3,22633.684536760054,-10410.265238490665,0.8189746766273183,51466.31021443552,0.36344683762112523,23496.815296011457,18508.287642403193,4988.527653608263,-10812.171003216314,-8489.327100378963,2322.843902837347,0.7859454297590642,0.9768403893165731,0.1908949595575091,27951.58852374724,16877.641902431373,11073.946621315865,-13409.379483211376,-7164.055923678428,6245.323559532951,0.7890877142387672,0.8513240063895764,0.06223629215080939
2014,2018,4,22992.650341316985,-10894.113656511676,0.8317236635693582,52338.03918190273,0.35002159393304116,23934.666491679545,18408.928057652174,5525.738434027376,-11394.478678794947,-8459.405608540814,2935.073070254134,0.8024141765730561,0.9743396352976849,0.17192545872462864,28297.204774747937,17279.681236801698,11017.523537946241,-13996.493831561495,-7552.871274527728,6443.622557033767,0.8118576093749778,0.8531192690373407,0.041261659662362955
2014,2019,5,38152.12927342211,-36136.86596307484,0.8075416754282186,72486.10526070026,-0.15364648441660902,39839.41531851682,29862.09773965071,9977.3175788661,-37761.47608426158,-28154.7759233469,9606.70016091468,0.7931450098100721,0.8782758655808413,0.08513085577076909,47101.14036493829,28424.251599991814,18676.888764946492,-45254.5763348245,-26225.606467348778,19028.96986747574,0.8101244983287882,0.80473405959537,0.005390438733418175
2014,2021,7,38077.39337841734,-35987.78637934963,0.8527104967229361,70891.20051327927,-0.1635926890275299,40483.06683971573,30768.02249671876,9715.04434299697,-38272.21984446716,-29046.789723013822,9225.430121453352,0.829662313072324,0.9227398357675215,0.09307752269519787,46287.86581695682,29094.268396239673,17193.597420717157,-44369.718216206245,-26817.066686151175,17552.65153005508,0.8569829509642536,0.848035980034927,0.008946970929326592
2014,2022,8,36810.714528451084,-34659.3624848812,0.8502390366340281,69449.86830690932,-0.15441071207767218,38903.56302869273,30353.536619811228,8550.026408881511,-36623.41963956678,-28599.551433542645,8023.86820602414,0.8323909885981042,0.9053065780621833,0.07291558946407942,44700.55049795451,28274.58963135205,16425.960866602454,-42737.266143506444,-25919.764500425506,16817.501643080937,0.8458648716858357,0.8549715074309628,0.009106635745127297
2015,2016,1,22234.10892145032,-9293.386182980466,0.818886781464028,49931.127383777064,0.3874729317484068,23219.845835853343,17534.39600235083,5685.449833502513,-9784.988809817898,-6949.564842161221,2835.4239676566785,0.7890395515635942,0.9611898746248967,0.17215032306130254,27381.416048854913,16671.86426454492,10709.551784309991,-11539.589164468369,-6866.111061667501,4673.47810280087,0.8169886514861274,0.8209379245309489,0.003949273044821811
2015,2017,2,22512.87836679787,-9473.908215207952,0.8285850304059377,50989.26452385532,0.3751926444679927,23357.787918627655,18474.57107236877,4883.21684625888,-9842.652072948335,-7711.469848563819,2131.182224384513,0.7981891153888303,0.9738645399920233,0.17567542460319288,27804.941762059243,16784.80531372412,11020.136448335126,-11900.617998609041,-6847.2633926276185,5053.354605981423,0.7991593100581896,0.8604351166959359,0.061275806637746316
2015,2018,3,22982.71185603456,-10056.395525301454,0.8467618234824872,52353.56957568353,0.34963601875634104,23920.473326307507,18419.6922661921,5500.781060115406,-10502.427908227291,-7886.062700257662,2616.3652079696317,0.8186915486280214,0.9833479577111709,0.16465640908314952,28330.60494855484,17223.06730996888,11107.537638585965,-12707.522018305195,-7201.150294667426,5506.37172363777,0.8269040435694058,0.8681485176056956,0.041244474036289655
2015,2019,4,37898.15028155292,-35905.87516315982,0.8075266933172479,71794.0710623914,-0.13172100492946157,39467.53656387216,30187.387896645847,9280.14866722633,-37453.89232901625,-28300.10425248477,9153.788076531471,0.7882080041050998,0.9024439382179773,0.11423593411287757,47147.99826874487,27843.252729516942,19304.745539227926,-45076.30865395786,-25937.303854159745,19139.004799798106,0.80421147668179,0.8111304459063162,0.0069189692245260875
