Instancia,V,E,TempoLimite(s),MaxCliqueBF,NosBF,TempoBF(s),StatusBF,MaxCliqueBT,NosBT,TempoBT(s),StatusBT,MaxCliqueBB,NosBB,PodasBB,TempoBB(s),StatusBB
brock200_2.clq,200,9876,900,12,291982117,3.322000,OK,12,6292600,1.334000,OK,12,3830,3823,0.019000,OK
brock200_4.clq,200,13089,900,17,44749152256,900.000000,TIMEOUT,17,1406007545,399.463000,OK,17,58736,58724,0.541000,OK
brock200_1.clq,200,14834,900,17,41982746624,900.000000,TIMEOUT,20,3287441408,900.000000,TIMEOUT,21,524731,524715,5.032000,OK
brock200_3.clq,200,12048,900,15,7267209128,142.594000,OK,15,182757306,50.547000,OK,15,14567,14563,0.137000,OK
brock400_2.clq,400,59786,900,17,38242996224,900.000000,TIMEOUT,23,3028566016,900.000000,TIMEOUT,25,51314688,51314665,900.000000,TIMEOUT
brock400_1.clq,400,59723,900,17,36551208960,900.000000,TIMEOUT,23,2485604352,900.000000,TIMEOUT,25,37675008,37674983,900.000000,TIMEOUT
p_hat300-1.clq,300,10933,900,8,48354299,0.560000,OK,8,367323,0.104000,OK,8,1484,1477,0.007000,OK
p_hat500-1.clq,500,31569,900,9,929711633,14.567000,OK,9,4253593,2.097000,OK,9,9780,9775,0.112000,OK
p_hat300-2.clq,300,21928,900,16,39679336448,900.000000,TIMEOUT,25,3868356608,900.000000,TIMEOUT,25,4266,4248,0.049000,OK
san200_0.7_1.clq,200,13930,900,14,21151428608,900.000000,TIMEOUT,17,1794842624,900.000000,TIMEOUT,30,13406,13394,0.303000,OK
p_hat500-2.clq,500,62946,900,14,33230184448,900.000000,TIMEOUT,33,4108009472,900.000000,TIMEOUT,36,114024,113995,1.815000,OK
san200_0.7_2.clq,200,13930,900,13,87084273664,900.000000,TIMEOUT,15,4671520768,900.000000,TIMEOUT,18,472,457,0.004000,OK
