Ano_Treino,Ano_Teste,Distancia_Anos,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2014,0,20724.0264907897,-8047.6636857941285,0.8096316843095115,45781.88938321828,0.4034172373756455,21631.66549496706,16214.101937239688,5417.563557727374,-8485.216071850089,-5873.515842265961,2611.7002295841276,0.7871787958779698,0.9211883472656679,0.13400955138769816,25481.512529704247,15549.543512405528,9931.96901729872,-10098.377797041227,-5817.078326467315,4281.299470573911,0.7967745620184628,0.8236328482255664,0.03836146985081853
2014,2015,1,21934.041049977513,-9511.650355770116,0.8265201791454566,49697.68573131166,0.3809686415136329,22828.30472975505,17513.79177540244,5314.512954352609,-9981.436910011378,-7189.545899837555,2791.8910101738243,0.7961620989716376,0.9765769072675216,0.1804148082958838,27181.988822877916,16208.780229131708,10973.208593746209,-12207.919159420448,-6570.149637389969,5637.76952203048,0.8156753971262937,0.8383513192961921,0.0226759221698983
2014,2016,2,22373.841259266093,-10187.519397473681,0.8055471993078479,50380.973783919835,0.37638633588590553,23358.91841496759,17677.273881789122,5681.644533178468,-10729.83852625716,-7601.896216909273,3127.9423093478854,0.7779938039521844,0.9369139425290764,0.15892013857689208,27590.674431996238,16736.465885549802,10854.20854644643,-12970.288229138881,-7180.424487025378,5789.8637421135,0.7983076997208526,0.8133702933839808,0.015062593663128239
2014,2017,3,22633.68453676005,-10410.265238490663,0.818974676627318,51466.31021443552,0.36344683762112534,23496.815296011457,18508.287642403193,4988.527653608264,-10812.171003216314,-8489.327100378965,2322.843902837347,0.7859454297590642,0.9768403893165731,0.19089495955750904,27951.58852374724,16877.641902431376,11073.946621315865,-13409.379483211376,-7164.055923678428,6245.323559532951,0.789087714238767,0.8513240063895764,0.062236292150809405
2014,2018,4,22992.650341316985,-10894.113656511676,0.8317236635693582,52338.03918190273,0.35002159393304116,23934.666491679545,18408.928057652174,5525.738434027376,-11394.478678794947,-8459.405608540814,2935.0730702541337,0.802414176573056,0.9743396352976846,0.17192545872462858,28297.204774747937,17279.681236801698,11017.523537946241,-13996.493831561495,-7552.871274527728,6443.6225570337665,0.8118576093749778,0.8531192690373407,0.041261659662362976
2014,2019,5,38152.12927342211,-36136.86596307484,0.8075416754282186,72486.10526070026,-0.15364648441660902,39839.41531851681,29862.097739650715,9977.3175788661,-37761.47608426158,-28154.7759233469,9606.70016091468,0.7931450098100721,0.8782758655808413,0.08513085577076915,47101.1403649383,28424.25159999181,18676.888764946492,-45254.57633482451,-26225.606467348778,19028.96986747574,0.8101244983287882,0.80473405959537,0.005390438733418175
2014,2021,7,38077.39337841734,-35987.78637934963,0.8527104967229361,70891.20051327927,-0.1635926890275299,40483.06683971573,30768.02249671876,9715.04434299697,-38272.21984446716,-29046.78972301382,9225.430121453352,0.829662313072324,0.9227398357675215,0.09307752269519787,46287.86581695682,29094.268396239673,17193.597420717157,-44369.718216206245,-26817.066686151175,17552.65153005508,0.8569829509642536,0.848035980034927,0.008946970929326533
2014,2022,8,36810.714528451084,-34659.3624848812,0.8502390366340281,69449.86830690932,-0.15441071207767218,38903.56302869275,30353.536619811228,8550.026408881511,-36623.41963956678,-28599.551433542645,8023.86820602414,0.8323909885981042,0.9053065780621833,0.07291558946407944,44700.55049795451,28274.589631352053,16425.960866602458,-42737.266143506444,-25919.764500425506,16817.501643080934,0.8458648716858357,0.8549715074309628,0.009106635745127293
2015,2015,0,21707.559630584834,-8547.452735263885,0.8046207861677608,49252.12526157963,0.3919086379170297,22644.18542611128,17077.720646705824,5566.464779405456,-8970.523991374184,-6455.89548661278,2514.628504761407,0.7806310535855336,0.9232220374096763,0.1425909838241427,26864.242552487256,16081.94667620848,10782.295876278784,-10753.267807608932,-6141.193739568571,4612.07406804036,0.7878964545977973,0.8228738307127731,0.03992542431228988
2015,2016,1,22234.10892145032,-9293.386182980466,0.818886781464028,49931.127383777064,0.3874729317484068,23219.845835853335,17534.39600235083,5685.449833502512,-9784.988809817898,-6949.564842161221,2835.4239676566785,0.7890395515635943,0.9611898746248966,0.17215032306130246,27381.416048854913,16671.86426454492,10709.551784309991,-11539.58916446837,-6866.111061667502,4673.478102800871,0.8169886514861274,0.8209379245309489,0.003949273044821826
