Ano_Treino,Ano_Teste,Distancia_Anos,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2014,0,20724.0264907897,-8047.6636857941285,0.8096316843095115,45781.88938321828,0.4034172373756455,21631.66549496706,16214.101937239688,5417.563557727373,-8485.21607185009,-5873.515842265961,2611.7002295841276,0.7871787958779698,0.9211883472656678,0.13400955138769813,25481.512529704247,15549.543512405528,9931.96901729872,-10098.377797041227,-5817.078326467315,4281.29947057391,0.7967745620184628,0.8236328482255661,0.03836146985081852
2014,2015,1,21963.367058351465,-9571.580834495728,0.8256790471695761,49770.581853854856,0.3806225756369964,22858.82493799835,17537.21498214687,5321.609955851478,-10044.119097288592,-7235.87497888193,2808.244118406663,0.7953546096722662,0.9755694831567855,0.18021487348451926,27218.1049623675,16230.6985281825,10987.406434184997,-12280.061401892315,-6616.757664072344,5663.30373781997,0.8148428818771003,0.837500786882304,0.022657905005203663
2014,2016,2,22737.487835866286,-10896.827730750536,0.7965373641449339,51254.73612640158,0.3720409778244169,23739.590296976887,17959.748650157653,5779.841646819227,-11472.482284672984,-8152.270735392182,3320.2115492808034,0.7693350166378761,0.9262304111849531,0.15689539454707693,28035.048654100905,17012.87715565716,11022.171498443748,-13821.643010261016,-7736.235646730974,6085.407363530041,0.7893588198069971,0.8042945892142261,0.014935769407228894
2014,2017,3,23604.02760611772,-12242.855521217192,0.7965771585032937,53757.6706462839,0.3522005002700845,24502.408025551857,19310.152370459295,5192.255655092562,-12724.198934169948,-9942.239305620056,2781.9596285498915,0.7645961291549223,0.949432838523938,0.18483670936901564,29141.628846408534,17610.187004816496,11531.441841592043,-15609.392500279368,-8598.95175218649,7010.440748092881,0.7678285318581881,0.8276943657813015,0.05986583392311359
2014,2018,4,24734.029572211188,-14060.811275984694,0.7946076798792202,56410.56439972228,0.32888663711954147,25747.478147287682,19802.72683909081,5944.751308196873,-14702.88061330796,-10936.58933136751,3766.291281940451,0.7668007902369351,0.9299122175388912,0.1631114273019562,30425.781566168524,18604.051324253065,11821.73024191546,-17789.166657913054,-10045.39784684333,7743.768811069721,0.7761172109582789,0.8145217893485455,0.038404578390266744
2014,2019,5,42260.38432046319,-40487.444906273435,0.8021462807703208,79258.31214987797,-0.18267389773596562,44124.12853772193,33103.37245701713,11020.756080704816,-42298.52805522992,-31589.169205611983,10709.358849617942,0.789210817587103,0.8657012411189641,0.07649042353186089,52095.50491299945,31569.275655023095,20526.229257976363,-50465.08044463105,-29641.41767548484,20823.6627691462,0.8076030099715809,0.7962146316055079,0.011388378366072998
2014,2021,7,45525.90630177525,-43845.31103057976,0.8393820584070237,82949.39405313399,-0.2159816176935839,48391.08000839407,36820.39510123816,11570.684907155899,-46621.657383662634,-35409.691850667776,11211.965532994871,0.8197700255735679,0.8989710358929404,0.07920101031937254,55195.88334998051,34945.92895588336,20249.954394097134,-53647.10527036937,-33121.11173940205,20525.993530967313,0.8475285801276496,0.8304689022720735,0.01705967785557606
2014,2022,8,48696.34903155814,-47171.56823464986,0.8322587351879619,88766.3418926121,-0.23403639652180092,51460.1719646691,40168.977659470955,11291.19430519815,-49856.96966546777,-38886.154936503815,10970.814728963966,0.8183098073027636,0.875296111748717,0.056986304445953394,58892.56661869823,37664.917308738266,21227.649309959957,-57488.60924859438,-36009.41594099878,21479.193307595604,0.8357654490815748,0.8284647719306805,0.00730067715089443
2015,2015,0,21733.71444186062,-8559.744045825448,0.8045810577106072,49309.79264440647,0.3919287905135823,22671.200837533725,17099.623416609225,5571.5774209245,-8983.947342164756,-6462.6074493187025,2521.33989284605,0.7805921726773765,0.923178975772677,0.14258680309530078,26896.720701468144,16101.199256363494,10795.521445104652,-10769.389663293954,-6149.306393814402,4620.083269479554,0.7876774117806956,0.8230298994570279,0.04021887147016674
2015,2016,1,22576.517750207735,-9954.160964029823,0.8100854531002194,50771.4907497553,0.3838262867250702,23577.074345894038,17806.148810656665,5770.925535237372,-10476.356596464524,-7464.480883886984,3011.8757125775405,0.780505101921445,0.9511161445099835,0.17061104258853838,27794.3094722905,16938.106556035604,10856.202916254899,-12333.545270469469,-7382.968432160886,4950.576838308578,0.8081298985069786,0.8121986499268917,0.004068751419913356
