Ano_Treino,Ano_Teste,Distancia_Anos,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2014,0,22502.225688981827,1480.1121816204345,1.2249334464024801,45649.38558467612,0.4068240676628133,23358.779154527296,18246.31133456324,5112.467819964049,1028.0022698600033,3726.8921578554978,2698.889887995495,1.1664008304010813,1.515787823494204,0.34938699309312243,27650.93810897492,16902.27005564323,10748.668053331694,1478.5619959055518,1482.0478188732689,386.94065700125725,1.198070421288842,1.254199172361062,0.07369955305001062
2014,2015,1,23513.974196076568,138.38500448250286,1.2377709924539366,49083.47437267132,0.397606084425189,24357.823538974124,19342.91757134424,5014.905967629885,-370.4806447314916,2653.653227557262,3024.133872288755,1.1629493524943961,1.607606318692338,0.44465696619794176,29040.86274597561,17484.402286211684,11556.46045976392,-501.44907297112775,836.4134784706749,1337.8625514418027,1.2321342090967957,1.243920454359195,0.011786245262399546
2014,2016,2,24017.75222921561,-1153.0522946813974,1.1846815441470504,50284.45974153959,0.3955909512613636,24951.982286663548,19563.60933749063,5388.372949172921,-1764.3474368104244,1761.4288765816395,3525.776313392065,1.111996355815538,1.53122382499048,0.419227469174942,29577.321632655072,18010.011784831353,11567.309847823723,-2011.997485063431,-224.86534614272065,1787.1321389207103,1.1821141647999651,1.1874558864783147,0.006044081161457589
2014,2017,3,24634.550420764386,-2307.6571966627907,1.1695448649883902,52444.69807592134,0.383457613585043,25497.97882946835,20507.73088897505,4990.247940493298,-2829.803605169927,187.9799347530496,3017.7835399229766,1.10179988201738,1.4933369896014164,0.39153710758403626,30356.97641995734,18440.657469002646,11916.318950954683,-3639.8571941571977,-865.6981086848341,2774.159085472364,1.1185851323394047,1.2247031368337105,0.10611800449430599
2014,2018,4,25431.55903196217,-4018.396274042352,1.16784533256838,54484.8794316027,0.3739243140694588,26361.317612722498,20907.480412482702,5453.837200239792,-4734.995130744606,-531.5238391582784,4203.471291586329,1.0987337443119576,1.5041329079231147,0.40539916361115697,31212.36913624489,19205.665803927892,12006.703332316998,-5715.99629275001,-2190.092581355275,3525.903711394736,1.1366116685323506,1.201483776644678,0.06487210811232676
2014,2019,5,32429.398574710103,-12064.498363225097,1.1002197197837835,64279.39631235743,0.22210245953314134,33838.99368535523,25503.727642344675,8335.266043010557,-12959.670345490527,-7666.308748190043,5293.3615973004835,1.0521305079775616,1.3364932807883212,0.28436277281075956,41623.169302076756,22435.458900395242,19187.710401681525,-16272.181278003985,-7490.604749174742,8781.57652882924,1.059808304460716,1.1441482947797035,0.0843399903189872
2014,2021,7,34671.2047281151,-14012.247153436017,1.1857982841941916,67111.40429025798,0.20402944232612244,36769.41614528887,28296.023024086182,8473.39312120269,-15481.293795142854,-9548.712546809238,5932.581248333614,1.0992671632559448,1.4487134578127239,0.34944629455677884,44028.33460933843,24433.515261800927,19594.819347537516,-17927.644775439916,-9728.388160342696,8199.256615097216,1.1723392052244053,1.2005239396830374,0.02818473445863175
2014,2022,8,36720.49014531903,-17333.26713925363,1.1231026535668045,71839.10326000684,0.19173427022720385,38792.97750504135,30326.133557353376,8466.843947687976,-18851.261044872474,-12649.71899342266,6201.542051449815,1.0670125472087308,1.296160471954896,0.22914792474616527,46531.994107044724,26105.285523904877,20426.708583139847,-21914.411978285585,-12376.861876985718,9537.55010129987,1.1038413731534367,1.1439417047108429,0.040100331557405736
2015,2015,0,23752.91641462587,1643.3251379022122,1.2356863963975875,49174.788543238275,0.395181062039702,24621.186884554998,19461.141825816674,5160.045058738323,1156.9758276842335,4047.5035837752966,2890.527756091064,1.1656845955150277,1.5817468042591127,0.4160622087440854,29370.544316433243,17624.413871223467,11746.130445209765,1671.409227442666,1612.4380851693707,393.92124362018706,1.2094466626953697,1.26433301225236,0.06855730543072044
2015,2016,1,24399.76938549148,353.40291553525384,1.233610808986834,50438.69986292313,0.39187734273766306,25301.546890292255,20100.351023917658,5201.195866374595,-257.1013818724844,3264.1135643603707,3521.214946232855,1.1515901005838576,1.624662191239883,0.47307209065602507,30010.018985991992,18337.263284359673,11672.755701632315,157.19444656671678,565.428248616578,408.23380204986125,1.2327059158962703,1.234588647812744,0.003240325801853361
2015,2017,2,24995.156053250204,-770.4156846154656,1.2225157215420377,52578.48797770687,0.38030783614201386,25833.794549033963,20986.821732045973,4846.972816987988,-1293.2917194841398,1728.7087496147726,3022.0004690989126,1.1474587441822506,1.5812560606865211,0.4337973165042707,30882.39913409233,18622.86684778405,12259.532286308282,-1358.5788008365935,-133.79419216417853,1224.784608672415,1.1805613089113882,1.2679267309154982,0.08736542200411028
2015,2018,3,25892.83830148587,-2642.6673935227486,1.2168725780448566,55124.24502570379,0.3591443360281449,26812.46987888584,21418.03630104497,5394.433577840877,-3331.1930028130873,707.6044430729485,4038.797445886035,1.14393383723952,1.5717825564387438,0.42784871919922335,31845.765880121522,19481.575722327896,12364.19015779362,-3741.9592583961144,-1458.7375197360593,2283.2217386600555,1.1795860819044548,1.2570298811961347,0.07744379929167973
2015,2019,4,31011.77534038748,-12000.155872126868,1.131971390508741,61804.90724861293,0.28085239753200225,32288.61826503927,24738.346990873608,7550.271274165666,-12971.487005084115,-7227.778511833146,5743.7084932509715,1.0731873846551352,1.4207909795905935,0.34760359493545884,38969.93360030207,22360.988201276687,16608.945399025386,-16384.868389062955,-7233.825094154137,9151.043294908815,1.0898582877826217,1.1777497572555051,0.08789146947288336
2015,2021,6,33028.10919559191,-14560.825500149038,1.2144538332700696,64520.42035169575,0.26431719225043937,34969.1017128578,27130.619608771263,7838.48210408654,-16134.2423364255,-9780.173681491027,6354.068654934474,1.1119083643443695,1.5260268196599587,0.41411845531558866,40857.13494912928,24462.327219077004,16394.807730052275,-19102.26808874087,-9592.007118735413,9510.260970005456,1.1814988264276483,1.250510095253778,0.06901126882612992
2015,2022,7,35147.55337071141,-17687.972047691837,1.1472832423715293,69607.72061263885,0.24117356715939212,37036.32150397332,29320.035581806274,7716.285922167045,-19349.16187605228,-12562.613828734424,6786.54804731786,1.0728773219471823,1.376851825850283,0.3039745039031006,43461.49297749205,26152.584762398943,17308.908215093114,-22777.504860432713,-12181.534660987323,10595.970199445388,1.1047324207251985,1.1933195768975218,0.08858715617232313
2016,2016,0,24489.965691655303,1704.2552494695087,1.2390002387661334,50174.44098216553,0.39809659939019315,25437.03274356068,19974.645928123166,5462.386815437511,1193.764450305044,4137.9539657407095,2944.1895154356653,1.1655688375701225,1.5889766462295618,0.42340780865943967,30109.910180455303,18416.965306955062,11692.94487350024,1795.8366961837526,1605.4032015782311,497.0966342738692,1.218680196473506,1.2609685368645693,0.05750924136538692
2016,2017,1,25200.672785976793,583.5877800720708,1.2685409040879125,52423.76614750911,0.3839495424725446,25987.962217792512,21437.76508959314,4550.197128199375,78.53683623732415,2997.5158817596343,2918.9790455223106,1.1831549121475982,1.6766495274877597,0.4934946153401612,31001.072902625467,18922.381479986103,12078.691422639376,262.1779136764132,931.4783961107078,669.3004824342945,1.2175065360900417,1.3237799604399225,0.10627342434988085
