Ano_Treino_1,Ano_Treino_2,Ano_Teste,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2015,2015,21104.725585937504,-8937.032,0.8115655795733135,47694.3812795194,0.39394470810890186,22032.542565104166,16506.840065104167,5525.7025,-9487.934,-6207.216,3280.7166,0.7849851004282633,0.9432945406436921,0.15830944021542867,26111.092656249995,15651.445436197917,10459.647220052084,-11309.205,-6353.2036,4956.001,0.7999693187077842,0.8241872684160867,0.027931176026662192
2014,2015,2016,22106.874934895834,-10342.956,0.803572811683019,50273.48590452605,0.37904446323712665,23131.600065104165,17221.274348958334,5910.325716145833,-11001.567,-7202.8843,3798.683,0.7744347771008809,0.9424948354562124,0.16806005835533142,27316.604231770834,16477.175390625,10839.428841145833,-13094.572,-7369.5244,5725.0474,0.8001852055390676,0.8072335501511891,0.007048344612121582
2015,2016,2016,21770.47178385417,-9276.374,0.8049728159109751,49598.471203169225,0.38957714796066284,22754.086223958333,16995.897708333334,5758.188515625,-9875.563,-6367.787,3507.776,0.7789563353856406,0.9312252104282378,0.15226887504259742,26963.319817708332,16132.198886718752,10831.120930989584,-11689.214,-6656.4937,5032.718,0.7940334622065226,0.8168460953235628,0.02526724457740784
2015,2016,2017,22261.336067708333,-9833.753,0.8225671629110972,50956.73004568763,0.3759898066520691,23139.34921875,18064.80859375,5074.540625,-10353.896,-7347.6895,3006.207,0.7898116767406463,0.9791242758433024,0.18931259910265605,27547.642122395835,16539.495442708332,11008.1466796875,-12454.922,-6996.627,5458.296,0.7938726246356964,0.8536257922649384,0.059753167629241946
2016,2017,2017,22075.691302083327,-9438.4,0.8052009379863739,50288.43538657132,0.38555855790774024,23034.092825520835,17500.520677083336,5533.572148437501,-10024.488,-6640.335,3384.1548,0.7780352751413983,0.9348677436510722,0.15683246850967408,27292.72192708333,16433.360722656253,10859.361204427083,-11881.818,-6795.7827,5086.037,0.7861442645390828,0.8258109386761984,0.04018499612808227
2016,2017,2018,22852.9791015625,-10360.838,0.8467871765295665,52764.40909232043,0.33938883344332377,23810.927408854168,18191.729296875,5619.198111979166,-10948.687,-7500.451,3448.2346,0.8147661467393239,1.002597165107727,0.18783101836840313,28220.760221354165,17071.913932291667,11148.8462890625,-13143.312,-7364.1333,5779.1763,0.8300105472405751,0.8648555199305217,0.03484497268994649
2017,2018,2018,22387.111575520827,-9635.404,0.8204529404640198,51245.45328204735,0.37290114124615986,23325.62397135417,17860.785182291664,5464.8387890625,-10203.741,-6894.225,3309.5168,0.7907352312405906,0.9637734452883404,0.17303821404774983,27654.714934895826,16699.784518229168,10954.930416666666,-12150.229,-6920.279,5229.948,0.7992700318495431,0.8433207229773203,0.04468652725219727
2017,2018,2019,36572.812109375,-34753.332,0.7935496767361959,70408.39243368154,-0.08849064111709595,38235.4609375,28403.822786458335,9831.638151041667,-36455.13,-26391.99,10063.14,0.7735874791940053,0.8916285256544749,0.11804104646046956,45535.78567708333,26829.756510416668,18706.029166666667,-43811.04,-24907.299,18903.738,0.8037449161211649,0.7824671069780985,0.021277809143066408
2018,2019,2019,23105.9177734375,-10075.472,0.853286019563675,52448.16474059116,0.3727173054218292,24084.748020833333,18319.63384114583,5765.1141796875,-10668.121,-7177.492,3490.6287,0.8201129647095996,1.0155154045422872,0.19540243983268737,28499.304544270835,17270.236106770833,11229.068437500002,-12769.338,-7160.639,5608.6997,0.8488599733511607,0.8580834575494133,0.02363239606221517
2018,2019,2021,23755.0568359375,-10495.625,0.9517460147539775,52260.01892144479,0.36766543785731,25159.70625,19487.184440104167,5672.521809895833,-11140.661,-8535.748,2604.9119,0.9002819200356801,1.1081138650576274,0.2078319450219472,28881.175260416665,18146.53984375,10734.635416666666,-13052.095,-7698.5747,5353.5215,0.9563090205192566,0.9467535734176635,0.009555447101593017
2019,2021,2021,23522.22552083333,-10210.384,0.8843337428569793,52793.80425886524,0.3719636098543804,24724.203333333335,18942.08319010417,5782.120143229167,-10897.771,-7590.736,3307.035,0.8438215625286103,1.0387244172890981,0.19490285476048783,28794.828841145834,17772.356575520833,11022.472265625,-12754.35,-7436.0913,5318.2563,0.8761618026097614,0.8932514087359112,0.02503396987915039
2019,2021,2022,23078.957096354166,-8580.505,0.9580428083737691,51450.45891291133,0.3664406398932139,24335.2634765625,19202.8076171875,5132.455859375,-9076.872,-7049.0415,2027.8302,0.9102662682533265,1.1054503520329793,0.1951840837796529,27979.355859375,17777.147005208335,10202.208854166667,-10680.778,-6308.1943,4372.584,0.9303129196166993,0.9880441745122274,0.057731254895528154
2014,2015,2017,22339.106510416666,-10554.269,0.8117604712645213,51317.98861741516,0.36711057225863136,23221.982291666667,18119.335807291667,5102.646484375,-11081.376,-8034.9126,3046.464,0.7801910976568858,0.962648606300354,0.1824575086434682,27660.319010416668,16579.482096354168,11080.8369140625,-13509.993,-7355.022,6154.969,0.7844968696435293,0.8412702957789103,0.05677342613538106
2014,2015,2018,22928.498958333334,-11201.349,0.8309368431568146,52960.59616922183,0.33446691632270814,23882.987890625,18284.0845703125,5598.9033203125,-11822.2,-8180.37,3641.8296,0.8013449847698212,0.9749267677466075,0.1735817829767863,28283.774283854167,17160.902213541667,11122.8720703125,-14365.788,-7793.267,6572.521,0.8061536808808645,0.8576281388600667,0.05147445797920227
2014,2015,2019,38144.07044270833,-36318.027,0.7931222518285116,71831.0525777209,-0.1328893780708313,39711.287890625,30443.9599609375,9267.3279296875,-37820.723,-28934.943,8885.779,0.7778544942537944,0.8681362589200338,0.09028176466623943,47406.62356770833,28075.359765625,19331.263802083333,-45679.234,-26142.092,19537.135,0.7939540286858876,0.7922180751959483,0.0023023406664530437
2014,2015,2021,38078.732421875,-36190.55,0.838765283425649,70319.06777297983,-0.1448856989542643,40225.04765625,31557.3931640625,8667.6544921875,-38182.766,-30137.424,8045.342,0.8118084967136383,0.9206705351670583,0.10886203845342,46606.260416666664,28748.714127604166,17857.5462890625,-44822.79,-26745.967,18076.818,0.8384694973627727,0.8390889326731364,0.002051369349161784
2014,2015,2022,36766.27838541667,-34798.066,0.8295623222986858,68844.49684052805,-0.134372083346049,38613.909375,31065.682942708332,7548.226432291666,-36491.42,-29573.479,6917.9463,0.8124233941237132,0.8824419657389323,0.07001857161521911,45001.547265625,27856.425,17145.122265625,-43142.453,-25770.166,17372.281,0.8264049669106801,0.8329782863457997,0.006573319435119629
2015,2016,2018,22851.948828125,-10437.39,0.8457514206568401,52525.20878534717,0.3453644891579946,23814.580794270834,18167.914778645834,5646.666015625,-11027.665,-7565.192,3462.473,0.8157653013865153,0.9916596790154775,0.1758943776289622,28154.5107421875,17141.125846354167,11013.384895833333,-13266.387,-7390.58,5875.8057,0.8201457977294921,0.8733284711837769,0.053182673454284665
2015,2016,2019,40010.72994791667,-38842.49,0.7995411376158397,74106.99356911176,-0.20580313205718995,41605.381510416664,32175.8298828125,9429.551627604167,-40423.21,-31076.02,9347.191,0.7843281348546346,0.8742861966292064,0.08995806177457173,49579.34583333333,29609.3216796875,19970.024153645834,-48387.977,-28466.225,19921.75,0.8045271754264831,0.7941211581230163,0.010406017303466797
2015,2016,2021,39971.68372395833,-38745.746,0.8387480080127716,72642.88979411745,-0.2217902104059855,42149.83098958333,33353.6296875,8796.201302083333,-40871.46,-32286.988,8584.479,0.8117582976818085,0.9207532505194346,0.10899495283762614,48768.947916666664,30346.5478515625,18422.400065104168,-47522.84,-29142.676,18380.162,0.8397496183713277,0.8376520991325378,0.002514509359995524
2015,2016,2022,38631.554036458336,-37351.285,0.8289182444413503,71154.68964945874,-0.21176532904307047,40492.69635416667,32889.27154947917,7603.4248046875,-39153.34,-31791.3,7362.041,0.8088169475396474,0.8909378985563914,0.08212095101674398,47113.759765625,29454.534505208332,17659.225260416668,-45814.207,-28195.123,17619.086,0.8251574516296387,0.8329871237277985,0.00782967209815979
2016,2017,2019,39633.862630208336,-38575.38,0.7898766795794169,73302.14658410272,-0.1797938068707784,41403.91653645833,30937.172005208333,10466.74453125,-40369.2,-29761.945,10607.251,0.7772068381309509,0.8521267513434092,0.07491991321245829,48756.901953125,29716.809049479165,19040.092903645833,-47727.277,-28626.95,19100.336,0.7946641484896342,0.7846725722153981,0.009991576274236044
