Ano_Treino_1,Ano_Treino_2,Ano_Teste,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2015,2015,22592.852135416666,788.9169,1.2302107755343117,46393.29970181101,0.42653948545455933,23431.4979296875,18436.726848958337,4994.771080729167,272.53918,3347.6826,3075.1438,1.1600042923291525,1.5781248553593954,0.4181205630302429,27926.722747395826,16782.792968749996,11143.929778645834,653.027,936.80457,340.09277,1.214095230102539,1.2477528039614358,0.04192696173985799
2014,2015,2016,23358.414778645834,-528.1739,1.2065903067588806,48621.3880750836,0.4191857695579529,24265.056315104168,19035.80859375,5229.247721354167,-1154.5397,2458.1602,3612.7,1.1259452025095622,1.5910831769307454,0.46513797442118326,28813.475390625,17463.6083984375,11349.8669921875,-1060.0511,46.579327,1106.6304,1.2141176541646321,1.1984561443328858,0.01566150983174642
2015,2016,2016,23390.896562500006,850.1892,1.2408273100852967,48219.026664976256,0.42303831775983175,24258.59033854166,19179.008776041665,5079.5815625,278.59607,3624.6885,3346.0923,1.1620337224006654,1.6232192866007484,0.46118556420008344,28905.179348958332,17403.640169270835,11501.539179687501,730.14954,980.6732,357.22787,1.2276167281468706,1.2551647329330442,0.03559920787811279
2015,2016,2017,23810.953385416666,417.04782,1.25147225856781,49527.14672859207,0.4105116307735443,24596.369856770834,20056.997591145835,4539.372265625,-74.935005,2768.5156,2843.4507,1.1730884869893392,1.6261130730311075,0.4530245860417684,29440.820768229165,17717.2443359375,11723.576432291668,88.3812,772.7931,684.4119,1.2050301790237428,1.3017405907313029,0.09671041170756021
2016,2017,2017,23719.680065104167,846.2576,1.2416570631663004,48849.18779792434,0.4202043612798055,24551.03799479167,19751.059856770837,4799.978138020833,263.65247,3627.8994,3364.2473,1.1610480896631878,1.6264740411440533,0.46542595148086546,29267.243346354167,17719.836119791667,11547.4072265625,726.6501,975.6512,344.36877,1.2179710205396017,1.2672772812843325,0.05272722721099853
2016,2017,2018,24444.924869791666,17.123213,1.3059729933738708,51024.83604891299,0.38222964803377785,25240.052994791666,20575.9412109375,4664.111783854167,-591.0183,2976.2566,3567.2751,1.2061247984568277,1.791820752620697,0.5856959541638692,30120.590625,18332.270442708334,11788.320182291667,-432.67627,501.55423,934.2306,1.277825693289439,1.3362874905268352,0.05846179723739624
2017,2018,2018,24061.886171875,853.9731,1.2657568081219992,49799.08326737024,0.40778537154197697,24871.18321614583,20158.823684895833,4712.35953125,273.44873,3654.0122,3380.5635,1.1841815725962317,1.6591805895169576,0.47499901692072555,29668.46153645833,18008.548580729162,11659.912955729167,711.89105,1007.2958,398.10934,1.230644369125366,1.303663472334544,0.07340972820917765
2017,2018,2019,28277.28359375,-10268.354,1.1956683357556661,55338.50171192387,0.3276261349519094,29402.363997395834,22749.499739583334,6652.8642578125,-11500.782,-4213.147,7287.6343,1.1230593085289002,1.552413539091746,0.4293542305628459,35377.809895833336,20558.771484375,14819.038411458334,-14893.425,-5240.742,9652.683,1.1449613849322,1.2507885456085206,0.10582716067632039
2018,2019,2019,24782.95630208333,921.41705,1.3227958099047343,50876.0884311335,0.4097409093379974,25631.263333333332,20634.983398437504,4996.279934895833,314.9544,3886.9263,3571.9722,1.2382521867752072,1.7362177642186478,0.4979655774434407,30496.679752604166,18600.687578125,11895.992174479168,763.12274,1092.7292,401.2743,1.308061527411143,1.338748558362325,0.04554322004318236
2018,2019,2021,25456.1166015625,1115.168,1.4779216686884562,50891.88611117948,0.40034024516741434,26718.358528645833,21620.935091145835,5097.4234375,247.99863,3749.9658,3501.967,1.3399885018666586,1.897016429901123,0.5570279280344645,30879.783268229166,19522.052083333332,11357.731184895832,1031.6783,1206.5144,174.83612,1.4752623558044433,1.4808312733968099,0.006808233261108398
2019,2021,2021,25204.945611979172,868.0431,1.3623510797818499,51215.59584822002,0.40893487731615696,26314.544596354164,20976.908177083336,5337.636419270833,218.58084,3343.076,3124.495,1.2680115707715351,1.7218566648165385,0.4538450940450031,30767.60141927083,19138.797460937498,11628.803958333336,697.54156,1054.0616,430.35617,1.3373782261212666,1.389598199526469,0.05708259820938111
2019,2021,2022,25298.490885416668,2609.429,1.4712088267008463,50558.63172483222,0.3882141292095184,26474.997135416666,21668.5494140625,4806.447721354167,2099.299,4183.3604,2084.062,1.374461050828298,1.7697100559870402,0.3952490051587423,30649.598828125,19509.05,11140.548828125,2788.4248,2415.771,372.6536,1.4272639632225037,1.518753472963969,0.09148950974146525
2014,2015,2017,23579.866796875,-600.15424,1.209679647286733,49638.94652402848,0.407847261428833,24398.845768229166,19665.493489583332,4733.352278645833,-1075.4806,1671.7035,2747.184,1.1377127726872762,1.5536508282025656,0.4159380555152893,29156.5765625,17543.6939453125,11612.8826171875,-1344.1305,205.11778,1549.2483,1.166442052523295,1.256479553381602,0.09003750085830689
2014,2015,2018,24107.850651041666,-1158.8248,1.248109471797943,50918.49069465186,0.38480180501937866,24950.642643229166,20006.9412109375,4943.701432291667,-1773.2004,1830.6425,3603.843,1.1755002935727437,1.601415793100993,0.4259154995282491,29647.571549479166,18141.608723958332,11505.962825520834,-2112.6394,-131.5735,1981.0657,1.2136082172393798,1.2852670868237814,0.07165886958440144
2014,2015,2019,29303.663151041666,-8265.613,1.153064994017283,57787.36209346186,0.266767289241155,30570.793294270832,23077.9583984375,7492.834895833334,-8840.043,-5443.3047,3396.7385,1.1020493427912395,1.4037169098854065,0.3016675670941671,37240.56875,20675.978255208334,16564.590494791668,-11350.498,-4912.2407,6438.257,1.1071139097213745,1.203015391031901,0.09590148131052653
2014,2015,2021,29548.9078125,-7136.58,1.3080727577209472,56982.47053798667,0.24817562103271484,31353.513671875,24065.812955729165,7287.700716145833,-7862.509,-4930.9263,2931.5828,1.2024538079897562,1.628984256585439,0.4265304485956828,37175.48919270833,21204.620703125,15970.868489583334,-9588.728,-4453.6724,5135.0537,1.2710567156473795,1.3485722581545512,0.07751554250717163
2014,2015,2022,29133.210872395834,-5646.8657,1.3082730611165365,56656.679308198036,0.23168304761250813,30761.948046875,24107.981315104167,6653.966731770834,-6189.4395,-3972.8352,2216.605,1.2358774145444233,1.5316394488016765,0.295762034257253,36713.22213541667,20932.290234375,15780.931901041668,-7818.9946,-3296.8113,4522.1826,1.262295651435852,1.3580167214075725,0.09572106997172038
2015,2016,2018,24417.150065104168,-71.98129,1.3010153730710348,50911.89249015299,0.3849614381790161,25243.800716145834,20394.779752604165,4849.020963541667,-653.2408,2756.3484,3409.589,1.210313892364502,1.7423563162485758,0.5320424238840739,30008.120572916665,18395.713606770834,11612.406966145832,-663.523,565.1051,1228.628,1.2612545847892762,1.3438373724619548,0.08258278767267863
2015,2016,2019,28352.639453125,-10239.231,1.1846339027086894,56167.59230013087,0.30732459425926206,29463.6970703125,22893.7482421875,6569.948828125,-11070.927,-6152.9067,4918.021,1.1215402642885843,1.4946278850237529,0.37308762073516843,35422.76015625,20667.177213541665,14755.582942708334,-15266.025,-4774.935,10491.092,1.0776830991109212,1.3008930762608846,0.22320997714996338
2015,2016,2021,28433.504296875,-9190.36,1.3240784327189128,55033.495122234126,0.29876294334729514,29994.897330729167,23689.3869140625,6305.510416666667,-10504.676,-5196.9536,5307.7246,1.2037689765294393,1.6896253943443298,0.48585641781489053,35040.20703125,21205.074088541667,13835.132942708333,-13713.693,-4241.355,9472.338,1.2166022221247355,1.4416688005129497,0.22506657838821412
2015,2016,2022,28071.750065104166,-7714.1514,1.3347345550855,54807.55519500417,0.281058265765508,29434.4490234375,23867.342317708335,5567.106705729167,-8837.184,-4249.201,4587.982,1.2433345516522725,1.6167359471321106,0.373401395479838,34572.48815104167,21038.509375,13533.978776041668,-12022.615,-3052.7642,8969.85,1.2182915250460307,1.460715941588084,0.2424244165420532
2016,2017,2019,28355.611328125,-12248.666,1.15249316294988,56200.95801829819,0.30650508801142373,29505.923763020834,22703.858463541666,6802.065299479166,-13307.186,-7047.914,6259.271,1.088441801071167,1.4671927690505981,0.37875096797943114,35542.764322916664,20542.9330078125,14999.831315104168,-17546.588,-6489.643,11056.946,1.0590311765670777,1.2540895660718283,0.19505838950475057
2016,2017,2021,28359.358072916668,-11006.077,1.2982602914174397,54954.17777182566,0.30078649123509726,29889.271028645835,23710.88828125,6178.382747395834,-12727.683,-5775.169,6952.5137,1.1650935967763265,1.7028724392255148,0.5377788424491883,35049.63046875,21039.4931640625,14010.1373046875,-15765.085,-5799.2173,9965.872,1.2044136206309,1.4009384234746298,0.19652480284372967
2016,2017,2022,27863.19609375,-9600.342,1.3122587045033773,54548.32039194332,0.28784907460212705,29195.517122395835,23752.5138671875,5443.003255208333,-11152.831,-4810.3594,6342.4717,1.209870994091034,1.6281611402829488,0.4182901461919149,34414.10104166667,20775.679361979168,13638.4216796875,-14211.514,-4611.448,9600.067,1.2051593621571859,1.4281310280164083,0.2229716658592224
2017,2018,2021,28226.555013020832,-9027.259,1.3502184669176738,54094.94312246389,0.3224807461102804,29726.652734375,23668.672395833335,6057.980338541666,-10770.722,-3729.9429,7040.7793,1.2064332008361816,1.787093957265218,0.5806607564290365,34835.82434895833,20995.314778645832,13840.5095703125,-13204.682,-4456.7173,8747.965,1.2954575618108113,1.4101326902707418,0.11467512845993041
2017,2018,2022,27793.7240234375,-7604.7544,1.369453207651774,53664.192595916604,0.31074711084365847,29083.8962890625,23813.087565104168,5270.808723958334,-9209.757,-2652.7532,6557.0034,1.2567171374956767,1.717283805211385,0.4605666677157084,34314.594010416666,20738.703385416666,13575.890625,-11583.345,-3300.2593,8283.087,1.3029086550076803,1.4414487441380819,0.1385400891304016
2018,2019,2022,25438.193619791666,2490.7566,1.4902059276898703,50838.939132079206,0.38141152262687683,26541.213606770834,22034.98984375,4506.223763020834,1815.3517,4574.619,2759.267,1.3815715273221334,1.8253814220428466,0.4438098947207133,30839.2666015625,19594.697786458335,11244.568815104167,2638.169,2331.2688,306.8998,1.4625743190447489,1.5201008955637614,0.057526576519012454
2021,2022,2022,24938.766809895827,867.73596,1.4292586747805278,50475.1067243875,0.40015098651250197,26217.935520833336,21021.595520833333,5196.34,166.03014,3016.5078,2850.4778,1.3296987096468607,1.7341697001457215,0.4044709904988606,30263.874062500003,19145.775429687503,11118.098632812502,728.4802,1019.3062,413.0316,1.3937896696726484,1.4678472439448038,0.07613635698954264
