Ano_Treino_1,Ano_Treino_2,Ano_Teste,MAE_Geral,ME_Geral,MAPE_Geral,RMSE_Geral,R2_Geral,Raca_MAE_Priv,Raca_MAE_Unpriv,Disp_MAE_Raca,Raca_ME_Priv,Raca_ME_Unpriv,Disp_ME_Raca,Raca_MAPE_Priv,Raca_MAPE_Unpriv,Disp_MAPE_Raca,Gen_MAE_Priv,Gen_MAE_Unpriv,Disp_MAE_Gen,Gen_ME_Priv,Gen_ME_Unpriv,Disp_ME_Gen,Gen_MAPE_Priv,Gen_MAPE_Unpriv,Disp_MAPE_Gen
2014,2015,2015,21118.124205729164,-8942.777,0.8115710639953613,47725.38865780245,0.39393389622370395,22046.59104166667,16517.01772786458,5529.573313802082,-9494.013,-6211.3027,3282.7085,0.7849978717168171,0.9432637850443523,0.158265913327535,26127.816302083327,15661.222337239586,10466.593964843747,-11316.582,-6357.17,4959.4106,0.7999908375740051,0.8241754651069642,0.027907283306121824
2014,2015,2016,22470.736328125,-11027.826,0.7947567343711853,51157.33013600589,0.37442541122436523,23513.959765625,17496.945442708333,6017.014322916667,-11718.812,-7733.408,3985.403,0.7660328249136606,0.9317042271296183,0.16567140221595764,27759.007161458332,16756.165625,11002.841536458332,-13916.54,-7906.2476,6010.292,0.7913672904173533,0.7984194298585255,0.007052139441172282
2015,2016,2016,21938.99526041667,-9349.393,0.8051567161083223,49980.84098954156,0.38949910283088685,22930.245247395833,17127.35384765625,5802.891399739584,-9953.09,-6418.935,3534.1548,0.7791530831654866,0.931346595287323,0.15219351212183635,27170.141718749997,16259.138535156251,10911.00318359375,-11780.004,-6710.2134,5069.7905,0.7941519455114999,0.8171012000242871,0.02534338315327962
2015,2016,2017,23160.329947916667,-11350.627,0.8035339474678039,53149.392869835916,0.36677754322687783,24075.867057291667,18784.4515625,5291.415494791667,-11937.966,-8543.3955,3394.5693,0.7716762105623881,0.9558003882567088,0.18412417769432068,28641.1984375,17227.8958984375,11413.3025390625,-14281.931,-8177.8125,6104.1187,0.7754806657632192,0.8338985323905945,0.05841786662737528
2016,2017,2017,22627.50778645834,-9675.107,0.8052887511253357,51553.01032630549,0.38533334334691366,23608.476002604173,17944.6142578125,5663.861744791667,-10275.22,-6810.0947,3465.1255,0.7781303048133847,0.9349215559164681,0.15679125110308326,27975.14134114583,16843.928671874997,11131.212669270833,-12181.356,-6964.5376,5216.8193,0.7863400538762411,0.8257824718952179,0.04002249677975971
2016,2017,2018,24382.090625,-12494.543,0.8217920025189718,56482.18886495203,0.3271817942460378,25408.338346354165,19388.506184895832,6019.832161458334,-13181.409,-9152.343,4029.0674,0.7908820986747742,0.9721952935059865,0.18131319483121236,30085.935546875,18239.087369791665,11846.848177083333,-15718.481,-9022.382,6696.1,0.8055829266707103,0.8392490406831106,0.03366611401240031
2017,2018,2018,23471.084492187503,-10103.362,0.8204545525709789,53727.870054497085,0.37282367507616676,24456.499114583337,18718.543138020836,5737.9559765625,-10699.806,-7226.6084,3473.1975,0.7907160882155101,0.9638755055268606,0.1731594173113505,28992.029427083333,17510.227903645835,11481.801523437498,-12740.251,-7256.4487,5483.8027,0.799183073838552,0.8434177962938946,0.044876569112141926
2017,2018,2019,39924.317708333336,-38112.984,0.7914004862308502,76411.4804104615,-0.09927184184392293,41737.585677083334,31015.310026041665,10722.275651041668,-39967.957,-28999.09,10968.868,0.7723102331161499,0.8851952870686849,0.112885053952535,49644.862630208336,29357.758854166666,20287.103776041666,-47925.133,-27446.857,20478.273,0.8023459692796071,0.7795023600260417,0.02284360925356547
2018,2019,2019,24740.40595052083,-10794.571,0.8533380313714345,56166.25393325782,0.37270818789800014,25788.596015625,19614.97040364583,6173.625611979167,-11429.002,-7692.307,3736.6938,0.8202306767304737,1.015243911743164,0.19501323501269024,30515.795846354165,18491.392083333336,12024.403763020835,-13684.21,-7667.9106,6016.3,0.8488577953974407,0.8581944604714711,0.02368747035662333
2018,2019,2021,27565.011653645834,-15064.562,0.9048570593198141,60864.14805945153,0.34533791343371073,29178.5765625,22662.375651041668,6516.200911458333,-16001.302,-12218.375,3782.9258,0.8558096090952555,1.053882364432017,0.19807275533676147,33459.717057291666,21115.5810546875,12344.136002604168,-18493.941,-11312.457,7181.484,0.9092021346092224,0.9001031041145324,0.009099030494689941
